Observation;Block;Column;Row;Treatment;Soil;Week;Plant Number;Af;Bb;Mp;Het;Thr;c.bug;Bem;Bem (instar);Bem(egg);Total_Sucking Herbivores;Total_specialist_sucking Herbivores;Total_generalist_sucking Herbivore 
1;1;1;1;MW;Pot;16;44;0;0;0;0;0;0;0;0;0;0;0;0
1;1;1;2;CHI;Pot;8;11;0;0;4;0;0;0;0;0;0;4;0;4
1;1;1;3;HC;Field;4;8;0;0;0;0;0;0;0;0;0;0;0;0
1;1;1;4;CHI;Field;4;8;0;0;0;0;0;0;0;0;0;0;0;0
1;1;1;5;MAN;Field;16;42;0;0;0;0;0;0;0;0;0;0;0;0
1;1;1;6;MAN;Pot;4;5;0;0;0;0;0;0;0;0;0;0;0;0
1;1;1;7;HC;Pot;12;25;0;0;0;0;0;0;0;0;0;0;0;0
1;1;1;8;MAN;Field;16;46;0;0;0;0;0;0;0;0;0;0;0;0
1;1;1;9;MW;Pot;8;14;0;0;0;0;0;0;0;0;0;0;0;0
1;1;1;10;CO;Field;4;5;1;0;0;0;0;0;0;0;0;1;0;1
1;1;1;11;HC;Field;16;46;0;0;0;0;0;0;0;0;0;0;0;0
1;1;1;12;CHI;Pot;16;43;0;0;1;0;0;0;0;0;0;1;0;1
1;1;1;13;BSF;Field;16;41;0;0;0;0;0;0;0;0;0;0;0;0
1;1;1;14;BSF;Pot;4;7;0;0;0;0;0;0;0;0;0;0;0;0
1;1;1;15;MAN;Field;4;2;1;0;0;0;0;0;0;0;0;1;0;1
1;1;1;16;HC;Pot;16;37;0;0;2;0;0;0;0;0;0;2;0;2
1;1;1;17;CO;Pot;16;46;0;0;0;0;0;0;0;0;0;0;0;0
1;1;2;1;HC;Pot;16;61;0;0;0;0;0;0;0;0;0;0;0;0
1;1;2;2;MW;Pot;16;36;0;0;0;0;0;0;0;0;0;0;0;0
1;1;2;3;CO;Pot;4;1;0;0;0;0;0;0;0;0;0;0;0;0
1;1;2;4;MW;Field;16;38;0;0;0;0;0;0;0;0;0;0;0;0
1;1;2;5;BSF;Pot;16;39;0;0;0;0;0;0;0;0;0;0;0;0
1;1;2;6;MW;Field;8;15;0;0;0;0;0;0;0;0;0;0;0;0
1;1;2;7;MW;Pot;12;28;0;0;0;0;0;0;0;0;0;0;0;0
