Label;Observation;Block;Column;Row;Treatment;Soil;Harvest;Plant_Number
CO_Field_week.12_plant.29_obs1;1;10;28;8;CO;Field;12;29
HC_Pot_week.16_plant.33_obs6;6;8;23;13;HC;Pot;16;33
MAN_Pot_week.16_plant.34_obs14;14;9;27;4;MAN;Pot;16;34
CO_Pot_week.16_plant.48_obs5;5;6;18;12;CO;Pot;16;48
CO_Field_week.16_plant.44_obs6;6;9;26;13;CO;Field;16;44
BSF_Field_week.16_plant.49_obs6;6;8;24;12;BSF;Field;16;49
MAN_Pot_week.16_plant.46_obs6;6;8;24;2;MAN;Pot;16;46
CO_Field_week.16_plant.45_obs7;7;6;17;14;CO;Field;16;45
CHI_Pot_week.16_plant.47_obs9;9;2;6;15;CHI;Pot;16;47
HC_Field_week.16_plant.35_obs10;10;6;16;12;HC;Field;16;35
CHI_Field_week.16_plant.48_obs8;8;4;11;11;CHI;Field;16;48
HC_Pot_week.16_plant.37_obs10;10;1;1;16;HC;Pot;16;37
BSF_Pot_week.4_plant.6_obs1;1;9;26;1;BSF;Pot;4;6
BSF_Field_week.8_plant.17_obs1;1;3;9;3;BSF;Field;8;17
CHI_Field_week.4_plant.8_obs4;4;1;1;4;CHI;Field;4;8
HC_Field_week.16_plant.37_obs5;5;4;11;2;HC;Field;16;37
HC_Pot_week.16_plant.39_obs5;5;5;15;15;HC;Pot;16;39
CHI_Field_week.16_plant.33_obs9;9;4;10;8;CHI;Field;16;33
HC_Pot_week.16_plant.33_obs9;9;8;23;13;HC;Pot;16;33
MAN_Field_week.16_plant.48_obs9;9;8;24;14;MAN;Field;16;48
CHI_Field_week.16_plant.36_obs12;12;3;7;13;CHI;Field;16;36
CHI_Field_week.16_plant.33_obs12;12;4;10;8;CHI;Field;16;33
MW_Pot_week.16_plant.47_obs12;12;4;11;6;MW;Pot;16;47
MW_Field_week.16_plant.47_obs12;12;5;13;11;MW;Field;16;47
HC_Pot_week.12_plant.22_obs5;5;2;5;6;HC;Pot;12;22
HC_Field_week.8_plant.16_obs5;5;4;12;3;HC;Field;8;16
MAN_Pot_week.8_plant.53_obs4;4;13;39;8;MAN;Pot;8;53
HC_Field_week.16_plant.42_obs6;6;6;17;9;HC;Field;16;42
MW_Pot_week.16_plant.38_obs12;12;6;17;4;MW;Pot;16;38
HC_Field_week.16_plant.47_obs9;9;4;10;3;HC;Field;16;47
CO_Field_week.16_plant.48_obs6;6;10;29;4;CO;Field;16;48
MW_Field_week.16_plant.42_obs10;10;2;5;11;MW;Field;16;42
MW_Field_week.16_plant.32_obs15;15;11;33;2;MW;Field;16;32
CO_Pot_week.16_plant.35_obs16;16;11;33;3;CO;Pot;16;35
CO_Pot_week.16_plant.36_obs10;10;1;3;4;CO;Pot;16;36
MW_Field_week.16_plant.65_obs12;12;13;38;15;MW;Field;16;65
MW_Pot_week.16_plant.38_obs9;9;6;17;4;MW;Pot;16;38
MW_Pot_week.16_plant.38_obs10;10;6;17;4;MW;Pot;16;38
CO_Field_week.16_plant.33_obs11;11;3;8;13;CO;Field;16;33
MAN_Pot_week.16_plant.36_obs5;5;7;19;7;MAN;Pot;16;36
MW_Pot_week.16_plant.42_obs7;7;7;21;7;MW;Pot;16;42
CHI_Field_week.16_plant.42_obs7;7;8;23;16;CHI;Field;16;42
BSF_Pot_week.16_plant.32_obs10;10;3;7;5;BSF;Pot;16;32
MAN_Pot_week.16_plant.33_obs10;10;4;10;1;MAN;Pot;16;33
BSF_Field_week.16_plant.40_obs10;10;6;17;15;BSF;Field;16;40
CHI_Field_week.16_plant.46_obs10;10;6;17;17;CHI;Field;16;46
MAN_Field_week.16_plant.40_obs10;10;7;20;13;MAN;Field;16;40
BSF_Pot_week.16_plant.47_obs10;10;10;30;8;BSF;Pot;16;47
CHI_Field_week.16_plant.50_obs11;11;6;16;10;CHI;Field;16;50
CO_Pot_week.16_plant.49_obs12;12;3;9;1;CO;Pot;16;49
HC_Field_week.16_plant.47_obs12;12;4;10;3;HC;Field;16;47
BSF_Pot_week.16_plant.43_obs12;12;5;14;12;BSF;Pot;16;43
