Sample_Name;Sample_name;Novogene_ID;Treatment;Time_point;Soil_type;Plant_Number;Harvest;Block;Column;Row
BSF.F01.W4;bsf_f1_w4;FKDN220481256-1A;BSF;Week.4;Field;1;4;6;18;4
BSF.F02.W4;bsf_f2_w4;FKDN220481258-1A;BSF;Week.4;Field;2;4;7;21;17
BSF.F03.W4;bsf_f3_w4;FKDN220481259-1A;BSF;Week.4;Field;3;4;4;11;3
BSF.F04.W4;bsf_f4_w4;FKDN220481260-1A;BSF;Week.4;Field;4;4;3;7;17
BSF.F05.W4;bsf_f5_w4;FKDN220481261-1A;BSF;Week.4;Field;5;4;2;6;16
BSF.F07.W4;bsf_f7_w4;FKDN220481263-1A;BSF;Week.4;Field;7;4;9;27;12
BSF.F08.W4;bsf_f8_w4;FKDN220481264-1A;BSF;Week.4;Field;8;4;10;28;9
BSF.F09.W4;bsf_f9_w4;FKDN220481265-1A;BSF;Week.4;Field;9;4;1;3;3
BSF.F10.W4;bsf_f10_w4;FKDN220481257-1A;BSF;Week.4;Field;10;4;11;33;13
BSF.F54.W4;bsf_f54_w4;FKDN220481262-1A;BSF;Week.4;Field;54;4;12;35;10
Chi.F02.W4;chi_f02_w4;FKDN220481277-1A;CHI;Week.4;Field;2;4;10;30;3
Chi.F03.W4;chi_f03_w4;FKDN220481278-1A;CHI;Week.4;Field;3;4;6;16;3
Chi.F04.W4;chi_f04_w4;FKDN220481279-1A;CHI;Week.4;Field;4;4;2;6;5
Chi.F05.W4;Chi_F05_w4;FKDN220481284-1A;CHI;Week.4;Field;5;4;11;31;1
Chi.F06.W4;chi_f06_w4;FKDN220481280-1A;CHI;Week.4;Field;6;4;7;19;9
Chi.F07.W4;chi_f07_w4;FKDN220481281-1A;CHI;Week.4;Field;7;4;4;12;7
Chi.F09.W4;chi_f09_w4;FKDN220481282-1A;CHI;Week.4;Field;9;4;12;36;4
Chi.F10.W4;chi_f10_w4;FKDN220481283-1A;CHI;Week.4;Field;10;4;9;27;9
Chi.F51.W4;Chi_F51_w4;FKDN220481285-1A;CHI;Week.4;Field;51;4;13;39;13
Chi.F08.W4;chi_f_08_w4;FKDN220481276-1A;CHI;Week.4;Field;8;4;1;1;4
Co.F01.W4;co_f01_w4;FKDN220481295-1A;CO;Week.4;Field;1;4;4;12;2
Co.F02.W4;co_f02_w4;FKDN220481296-1A;CO;Week.4;Field;2;4;8;24;1
Co.F03.W4;co_f03_w4;FKDN220481297-1A;CO;Week.4;Field;3;4;12;35;5
Co.F05.W4;co_f05_w4;FKDN220481298-1A;CO;Week.4;Field;5;4;1;1;10
Co.F06.W4;CO_F06_w4;FKDN220481303-1A;CO;Week.4;Field;6;4;10;28;12
Co.F07.W4;co_f07_w4;FKDN230053490-1A;CO;Week.4;Field;7;4;7;20;9
Co.F08.W4;co_f08_w4;FKDN220481300-1A;CO;Week.4;Field;8;4;2;5;7
Co.F10.W4;co_f10_w4;FKDN220481301-1A;CO;Week.4;Field;10;4;5;13;4
Co.F54.W4;co_f54_w4;FKDN220481302-1A;CO;Week.4;Field;54;4;13;38;7
HC.F01.W4;hc_f01_w4;FKDN220481315-1A;HC;Week.4;Field;1;4;4;10;14
HC.F02.W4;hc_f02_w4;FKDN220481316-1A;HC;Week.4;Field;2;4;5;14;2
HC.F03.W4;HC_F03_w4;FKDN220481321-1A;HC;Week.4;Field;3;4;10;30;4
HC.F04.W4;HC_F04_w4;FKDN220481322-1A;HC;Week.4;Field;4;4;8;22;1
HC.F05.W4;hc_f05_w4;FKDN220481317-1A;HC;Week.4;Field;5;4;2;4;17
HC.F06.W4;hc_f6_w4;FKDN220481314-1A;HC;Week.4;Field;6;4;12;36;7
HC.F07.W4;hc_f07_w4;FKDN220481318-1A;HC;Week.4;Field;7;4;11;31;6
HC.F08.W4;hc_f08_w4;FKDN220481319-1A;HC;Week.4;Field;8;4;1;1;3
HC.F09.W4;HC_F09_w4;FKDN220481323-1A;HC;Week.4;Field;9;4;7;21;2
HC.F52.W4;hc_f52_w4;FKDN220481320-1A;HC;Week.4;Field;52;4;11;33;5
Man.F01.W4;man_f01_w4;FKDN220481335-1A;MAN;Week.4;Field;1;4;4;10;12
Man.F02.W4;man_f02_w4;FKDN220481334-1A;MAN;Week.4;Field;2;4;1;1;15
Man.F03.W4;man_f03_w4;FKDN220481336-1A;MAN;Week.4;Field;3;4;2;4;9
Man.F04.W4;man_f4_w4;FKDN220481342-1A;MAN;Week.4;Field;4;4;12;34;16
Man.F05.W4;Man_F05_w4;FKDN220481340-1A;MAN;Week.4;Field;5;4;7;19;10
Man.F06.W4;man_f06_w4;FKDN220481337-1A;MAN;Week.4;Field;6;4;9;25;13
Man.F07.W4;man_f07_w4;FKDN220481338-1A;MAN;Week.4;Field;7;4;11;33;16
Man.F08.W4;man_f08_w4;FKDN220481339-1A;MAN;Week.4;Field;8;4;6;16;1
Man.F09.W4;Man_F09_w4;FKDN220481341-1A;MAN;Week.4;Field;9;4;8;23;7
Man.F56.W4;man_f56_w4;FKDN220481343-1A;MAN;Week.4;Field;56;4;13;39;4
MW.F02.W4;mw_f2_w4;FKDN220481355-1A;MW;Week.4;Field;2;4;5;15;12
MW.F03.W4;mw_f3_w4;FKDN220481356-1A;MW;Week.4;Field;3;4;9;27;5
MW.F04.W4;mw_f4_w4;FKDN220481357-1A;MW;Week.4;Field;4;4;4;10;13
MW.F05.W4;mw_f5_w4;FKDN220481358-1A;MW;Week.4;Field;5;4;7;21;4
MW.F06.W4;mw_f6_w4;FKDN220481360-1A;MW;Week.4;Field;6;4;3;8;2
MW.F09.W4;mw_f9_w4;FKDN220481362-1A;MW;Week.4;Field;9;4;10;30;15
MW.F10.W4;mw_f10_w4;FKDN220481354-1A;MW;Week.4;Field;10;4;11;31;2
MW.F51.W4;mw_f51_w4;FKDN220481359-1A;MW;Week.4;Field;51;4;12;35;14
MW.F70.W4;mw_f70_w4;FKDN220481361-1A;MW;Week.4;Field;70;4;13;38;10
BSF.F11.W8;bsf_f11_w8;FKDN220481373-1A;BSF;Week.8;Field;11;8;8;23;10
BSF.F12.W8;bsf_f12_w8;FKDN220481374-1A;BSF;Week.8;Field;12;8;13;37;6
BSF.F13.W8;bsf_f13_w8;FKDN220481375-1A;BSF;Week.8;Field;13;8;10;29;5
BSF.F14.W8;bsf_f14_w8;FKDN220481376-1A;BSF;Week.8;Field;14;8;4;11;10
BSF.F15.W8;bsf_f15_w8;FKDN220481377-1A;BSF;Week.8;Field;15;8;7;21;16
BSF.F16.W8;bsf_f16_w8;FKDN220481378-1A;BSF;Week.8;Field;16;8;2;6;14
BSF.F17.W8;bsf_f17_w8;FKDN220481379-1A;BSF;Week.8;Field;17;8;3;9;3
BSF.F18.W8;bsf_f18_w8;FKDN220481380-1A;BSF;Week.8;Field;18;8;1;3;15
BSF.F19.W8;bsf_f19_w8;FKDN220481381-1A;BSF;Week.8;Field;19;8;6;17;13
BSF.F20.W8;bsf_f20_w8;FKDN220481382-1A;BSF;Week.8;Field;20;8;5;13;2
Chi.F13.W8;chi_f13_w8;FKDN220481392-1A;CHI;Week.8;Field;13;8;1;2;11
Chi.F14.W8;chi_f14_w8;FKDN230053496-1A;CHI;Week.8;Field;14;8;11;31;14
Chi.F15.W8;chi_f15_w8;FKDN230053497-1A;CHI;Week.8;Field;15;8;9;27;15
Chi.F16.W8;chi_f16_w8;FKDN220481395-1A;CHI;Week.8;Field;16;8;12;34;17
Chi.F17.W8;chi_f17_w8;FKDN220481396-1A;CHI;Week.8;Field;17;8;3;9;10
Chi.F19.W8;chi_f19_w8;FKDN220481397-1A;CHI;Week.8;Field;19;8;7;19;8
Chi.F20.W8;chi_f20_w8;FKDN220481398-1A;CHI;Week.8;Field;20;8;5;13;12
Chi.F52.W8;chi_f52_w8;FKDN220481399-1A;CHI;Week.8;Field;52;8;13;38;17
Co.F11.W8;co_f11_w8;FKDN220481410-1A;CO;Week.8;Field;11;8;1;3;9
Co.F12.W8;co_f12_w8;FKDN220481411-1A;CO;Week.8;Field;12;8;3;9;16
Co.F13.W8;co_f13_w8;FKDN220481412-1A;CO;Week.8;Field;13;8;4;10;7
Co.F14.W8;co_f14_w8;FKDN220481413-1A;CO;Week.8;Field;14;8;9;26;11
Co.F15.W8;co_f15_w8;FKDN220481414-1A;CO;Week.8;Field;15;8;5;13;3
Co.F17.W8;co_f17_w8;FKDN220481415-1A;CO;Week.8;Field;17;8;6;16;13
Co.F19.W8;co_f19_w8;FKDN220481417-1A;CO;Week.8;Field;19;8;3;8;10
Co.F53.W8;co_f53_w8;FKDN220481418-1A;CO;Week.8;Field;53;8;12;36;6
