Sample; Biomass 
CO.F01.W4; 2.38 
CO.F02.W4; 2.43 
CO.F03.W4; 2.98 
CO.F05.W4; 1.73 
CO.F06.W4; 2.13 
CO.F07.W4; 3.43 
CO.F08.W4; 0.26 
CO.F10.W4; 3.5 
CO.F54.W4; 1.47 
MAN.F01.W4; 3.72 
MAN.F02.W4; 2.02 
MAN.F03.W4; 1.8 
MAN.F05.W4; 2.09 
MAN.F06.W4; 4.32 
MAN.F07.W4; 3.49 
MAN.F08.W4; 8.67 
MAN.F09.W4; 3.82 
MAN.F04.W4; 3.5 
MAN.F56.W4; 1.01 
CHI.F08.W4; 5.71 
CHI.F02.W4; 6.77 
CHI.F03.W4; 4.24 
CHI.F04.W4; 3.89 
CHI.F05.W4; 2.47 
CHI.F06.W4; 2.67 
CHI.F07.W4; 5.23 
CHI.F09.W4; 2.43 
CHI.F10.W4; 3.36 
CHI.F51.W4; 3.3 
BSF.F01.W4; 4.31 
BSF.F10.W4; 2.71 
BSF.F02.W4; 8.57 
BSF.F03.W4; 3.75 
BSF.F04.W4; 2.66 
BSF.F05.W4; 0.36 
BSF.F54.W4; 1.59 
BSF.F07.W4; 2.19 
BSF.F08.W4; 3.21 
BSF.F09.W4; 4.99 
HC.F01.W4; 4.61 
HC.F02.W4; 2.21 
HC.F03.W4; 6.16 
HC.F04.W4; 7.3 
HC.F05.W4; 6.15 
HC.F07.W4; 2.3 
HC.F08.W4; 1.56 
HC.F09.W4; 5.72 
HC.F52.W4; 1.71 
HC.F06.W4; 0.88 
MW.F10.W4; 3.1 
MW.F02.W4; 1.3 
MW.F03.W4; 3.09 
MW.F04.W4; 2.12 
MW.F05.W4; 5.67 
MW.F51.W4; 0.46 
MW.F06.W4; 9.1 
MW.F70.W4; 3.48 
MW.F09.W4; 3.65 
CO.F11.W8; 3.73 
CO.F12.W8; 9.46 
CO.F13.W8; 42.65 
CO.F14.W8; 97.51 
CO.F15.W8; 32.76 
CO.F17.W8; 57.67 
CO.F19.W8; 37.67 
CO.F53.W8; 41.16 
MAN.F11.W8; 5.13 
MAN.F12.W8; 79.99 
MAN.F13.W8; 44.05 
MAN.F14.W8; 51.13 
MAN.F15.W8; 81.08 
MAN.F16.W8; 84.42 
MAN.F17.W8; 16.96 
MAN.F18.W8; 14.67 
MAN.F19.W8; 56.35 
MAN.F20.W8; 28.62 
CHI.F13.W8; 15.74 
CHI.F14.W8; 49.25 
CHI.F15.W8; 72.93 
CHI.F16.W8; 28.17 
CHI.F17.W8; 45.02 
CHI.F19.W8; 10.48 
CHI.F20.W8; 83.48 
CHI.F52.W8; 31.28 
BSF.F11.W8; 125.9 
BSF.F12.W8; 34.41 
BSF.F13.W8; 60.89 
BSF.F14.W8; 48.27 
BSF.F15.W8; 71.56 
BSF.F16.W8; 7.5 
BSF.F17.W8; 76.86 
BSF.F18.W8; 10.79 
BSF.F19.W8; 40.37 
BSF.F20.W8; 64.44 
HC.F11.W8; 42.69 
HC.F12.W8; 22.04 
HC.F13.W8; 11.26 
HC.F14.W8; 36.92 
HC.F15.W8; 55.84 
HC.F16.W8; 31.98 
HC.F17.W8; 44.67 
HC.F18.W8; 56.93 
HC.F19.W8; 57.47 
HC.F20.W8; 37.41 
MW.F11.W8; 35.32 
MW.F12.W8; 32.6 
MW.F13.W8; 36.72 
MW.F14.W8; 30.58 
MW.F15.W8; 5.06 
MW.F16.W8; 26.08 
MW.F17.W8; 93.62 
MW.F18.W8; 56.77 
MW.F20.W8; 15.15 
MW.F61.W8; 107.12 
CO.F20.W12; 120.56 
CO.F21.W12; 208.81 
CO.F22.W12; 31.81 
CO.F23.W12; 24.31 
CO.F25.W12; 74.81 
CO.F27.W12; 241.33 
CO.F29.W12; 310.08 
CO.F30.W12; 67.86 
CO.F64.W12; 145.94 
MAN.F21.W12; 126.64 
MAN.F22.W12; 49.03 
MAN.F23.W12; 97.03 
MAN.F24.W12; 51.23 
MAN.F25.W12; 209.77 
MAN.F27.W12; 27.73 
MAN.F29.W12; 43.19 
MAN.F30.W12; 133.13 
MAN.F64.W12; 122.23 
CHI.F21.W12; 286.15 
CHI.F22.W12; 38.29 
CHI.F23.W12; 65.05 
CHI.F24.W12; 208.48 
CHI.F26.W12; 119.34 
CHI.F28.W12; 225.53 
CHI.F61.W12; 75.89 
BSF.F21.W12; 1.052.275,00 
BSF.F22.W12; 142.67 
BSF.F23.W12; 152.45 
BSF.F24.W12; 278.86 
BSF.F25.W12; 54.69 
BSF.F26.W12; 9.26 
BSF.F27.W12; 53.08 
BSF.F30.W12; 131.87 
BSF.F51.W12; 18.94 
HC.F22.W12; 242.82 
HC.F23.W12; 90.05 
HC.F24.W12; 139.75 
HC.F25.W12; 176.73 
HC.F27.W12; 172.24 
HC.F28.W12; 96.22 
HC.F29.W12; 36.87 
HC.F30.W12; 95.04 
HC.F57.W12; 40.28 
MW.F21.W12; 104.35 
MW.F22.W12; 123.75 
MW.F23.W12; 128.96 
MW.F24.W12; 10.14 
MW.F26.W12; 202.25 
MW.F27.W12; 68.93 
MW.F28.W12; 64.73 
MW.F29.W12; 128.05 
MW.F30.W12; 235.38 
MW.F63.W12; 55.77 
CO.F35.W16; 169.24 
CO.F37.W16; 29.67 
CO.F39.W16; 7.88 
CO.F41.W16; 121.94 
CO.F44.W16; 241.15 
CO.F45.W16; 238.23 
CO.F46.W16; 41.61 
CO.F47.W16; 318,00 
CO.F49.W16; 324.98 
CO.F68.W16; 208.02 
MAN.F31.W16; 213.33 
MAN.F35.W16; 297.49 
MAN.F36.W16; 241.44 
MAN.F37.W16; 251.54 
MAN.F43.W16; 84.17 
MAN.F44.W16; 218.81 
MAN.F45.W16; 183.06 
MAN.F49.W16; 140.71 
MAN.F63.W16; 154,00 
MAN.F67.W16; 93.51 
CHI.F31.W16; 287.64 
CHI.F39.W16; 321.82 
CHI.F42.W16; 364.68 
CHI.F43.W16; 73.7 
CHI.F44.W16; 400.25 
CHI.F45.W16; 324.48 
CHI.F47.W16; 108.06 
CHI.F48.W16; 182.28 
CHI.F53.W16; 145.03 
CHI.F62.W16; 139.44 
BSF.F31.W16; 105.63 
BSF.F32.W16; 35.94 
BSF.F33.W16; 379.92 
BSF.F34.W16; 214.2 
BSF.F35.W16; 341.27 
BSF.F36.W16; 179.13 
BSF.F37.W16; 308.11 
BSF.F38.W16; 48.41 
BSF.F39.W16; 97.89 
BSF.F40.W16; 226.24 
HC.F32.W16; 232.11 
HC.F34.W16; 186.97 
HC.F37.W16; 413.35 
HC.F38.W16; 197.46 
HC.F40.W16; 138.75 
HC.F41.W16; 235.64 
HC.F42.W16; 289.47 
HC.F43.W16; 351.76 
HC.F47.W16; 497.95 
HC.F49.W16; 69.68 
MW.F33.W16; 106.06 
MW.F34.W16; 76.51 
MW.F35.W16; 195.09 
MW.F38.W16; 52.85 
MW.F39.W16; 355.06 
MW.F40.W16; 332.52 
MW.F43.W16; 251.3 
MW.F45.W16; 375.72 
MW.F46.W16; 430.61 
MW.F48.W16; 301.17 
CO.P01.W4; 4.26 
CO.P02.W4; 5.53 
CO.P03.W4; 0.84 
CO.P05.W4; 6.15 
CO.P07.W4; 9.06 
CO.P08.W4; 7.55 
CO.P10.W4; 3,00 
CO.P06.W4; 0.86 
CO.P68.W4; 2.78 
CO.P09.W4; 5.69 
MAN.P01.W4; 7.06 
MAN.P04.W4; 7.12 
MAN.P05.W4; 4.49 
MAN.P06.W4; 5.58 
MAN.P07.W4; 3.97 
MAN.P09.W4; 7.09 
MAN.P10.W4; 10.26 
MAN.P02.W4; 0.29 
MAN.P03.W4; 10.06 
MAN.P62.W4; 8.15 
CHI.P01.W4; 3.94 
CHI.P02.W4; 6.23 
CHI.P03.W4; 2.35 
CHI.P04.W4; 3.92 
CHI.P05.W4; 7.08 
CHI.P06.W4; 5.52 
CHI.P09.W4; 1.85 
CHI.P60.W4; 3.31 
CHI.P07.W4; 1.46 
BSF.P05.W4; 4.76 
BSF.P01.W4; 11.01 
BSF.P10.W4; 3.57 
BSF.P02.W4; 6.03 
BSF.P03.W4; 10.73 
BSF.P04.W4; 8.24 
BSF.P06.W4; 8.04 
BSF.P07.W4; 6.71 
BSF.P08.W4; 1.75 
BSF.P09.W4; 5.76 
HC.P01.W4; 10.01 
HC.P02.W4; 12.07 
HC.P03.W4; 2.27 
HC.P06.W4; 9.76 
HC.P08.W4; 5.27 
HC.P09.W4; 8.97 
HC.P10.W4; 14.26 
HC.P04.W4; 12.12 
HC.P59.W4; 4.72 
HC.P07.W4; 6.47 
MW.P01.W4; 8.29 
MW.P10.W4; 9.61 
MW.P02.W4; 4.23 
MW.P03.W4; 7.8 
MW.P04.W4; 10.18 
MW.P05.W4; 9.75 
MW.P53.W4; 0.89 
MW.P07.W4; 10.04 
MW.P08.W4; 11.11 
MW.P09.W4; 5.02 
CO.P11.W8; 25.23 
CO.P12.W8; 59.39 
CO.P13.W8; 84.7 
CO.P16.W8; 70.31 
CO.P17.W8; 90.81 
CO.P18.W8; 77.57 
CO.P19.W8; 102.26 
CO.P20.W8; 5.91 
CO.P59.W8; 34.84 
MAN.P11.W8; 74.62 
MAN.P13.W8; 121.52 
MAN.P14.W8; 43.31 
MAN.P15.W8; 117.13 
MAN.P16.W8; 35.52 
MAN.P17.W8; 98.87 
MAN.P18.W8; 59.78 
MAN.P19.W8; 100.59 
MAN.P20.W8; 114.95 
MAN.P53.W8; 36.85 
CHI.P11.W8; 23.23 
CHI.P12.W8; 97.68 
CHI.P13.W8; 24.81 
CHI.P14.W8; 28.79 
CHI.P15.W8; 53.28 
CHI.P16.W8; 65.88 
CHI.P17.W8; 3.31 
CHI.P18.W8; 45.33 
CHI.P19.W8; 40.82 
CHI.P64.W8; 36.18 
BSF.P11.W8; 69.78 
BSF.P12.W8; 11.67 
BSF.P13.W8; 7.36 
BSF.P14.W8; 12.21 
BSF.P15.W8; 39.67 
BSF.P16.W8; 91.83 
BSF.P17.W8; 75.45 
BSF.P19.W8; 38.12 
BSF.P20.W8; 55.7 
HC.P11.W8; 114.83 
HC.P12.W8; 83.59 
HC.P13.W8; 20.48 
HC.P14.W8; 148.65 
HC.P15.W8; 30.86 
HC.P16.W8; 113.41 
HC.P18.W8; 123.68 
HC.P19.W8; 62.88 
HC.P20.W8; 124.45 
HC.P51.W8; 13.43 
MW.P11.W8; 110.47 
MW.P13.W8; 13.32 
MW.P14.W8; 13.2 
MW.P15.W8; 94.43 
MW.P16.W8; 111.22 
MW.P17.W8; 99.89 
MW.P18.W8; 40.88 
MW.P19.W8; 96.53 
MW.P20.W8; 66.64 
MW.P65.W8; 24.74 
CO.P21.W12; 107.02 
CO.P22.W12; 33.84 
CO.P23.W12; 207.37 
CO.P25.W12; 28.38 
CO.P26.W12; 54.49 
CO.P28.W12; 198.31 
CO.P29.W12; 297.57 
CO.P30.W12; 299.18 
CO.P69.W12; 30.23 
MAN.P21.W12; 120.51 
MAN.P22.W12; 338.73 
MAN.P24.W12; 51.04 
MAN.P25.W12; 86.46 
MAN.P26.W12; 217.35 
MAN.P27.W12; 105.98 
MAN.P28.W12; 52.8 
MAN.P29.W12; 162.41 
MAN.P30.W12; 136.95 
MAN.P63.W12; 80.79 
CHI.P21.W12; 129.89 
CHI.P22.W12; 331.62 
CHI.P23.W12; 131.34 
CHI.P25.W12; 40.94 
CHI.P26.W12; 240.82 
CHI.P27.W12; 232.8 
CHI.P28.W12; 44.27 
CHI.P29.W12; 109.87 
CHI.P30.W12; 49.84 
CHI.P70.W12; 59.71 
BSF.P21.W12; 160.1 
BSF.P22.W12; 149.2 
BSF.P23.W12; 318.48 
BSF.P25.W12; 88.39 
BSF.P26.W12; 247.52 
BSF.P27.W12; 239.96 
BSF.P28.W12; 184.48 
BSF.P29.W12; 229.82 
BSF.P36.W12; 396.24 
BSF.P68.W12; 44.96 
HC.P22.W12; 23.91 
HC.P23.W12; 169.63 
HC.P24.W12; 241.38 
HC.P25.W12; 44.16 
HC.P26.W12; 148.73 
HC.P27.W12; 257.11 
HC.P28.W12; 214.45 
HC.P29.W12; 25.33 
HC.P30.W12; 331.79 
HC.P64.W12; 160.79 
MW.P21.W12; 180.56 
MW.P22.W12; 134.73 
MW.P23.W12; 414.38 
MW.P24.W12; 143.21 
MW.P25.W12; 246.42 
MW.P27.W12; 314.07 
MW.P29.W12; 205.46 
MW.P30.W12; 244.05 
MW.P58.W12; 47.14 
CO.P31.W16; 528.44 
CO.P33.W16; 394.04 
CO.P36.W16; 276.27 
CO.P40.W16; 146.87 
CO.P44.W16; 471.84 
CO.P46.W16; 239.47 
CO.P47.W16; 148.64 
CO.P48.W16; 256.81 
CO.P49.W16; 380.68 
CO.P50.W16; 290.45 
MAN.P33.W16; 252.65 
MAN.P37.W16; 270.54 
MAN.P38.W16; 401.61 
MAN.P40.W16; 414.01 
MAN.P41.W16; 377.32 
MAN.P42.W16; 282.01 
MAN.P43.W16; 188.62 
MAN.P44.W16; 154.96 
MAN.P46.W16; 312.9 
MAN.P65.W16; 191.99 
CHI.P31.W16; 94.11 
CHI.P32.W16; 346.95 
CHI.P33.W16; 62.71 
CHI.P35.W16; 199.75 
CHI.P37.W16; 396.82 
CHI.P38.W16; 315.17 
CHI.P45.W16; 256.71 
CHI.P46.W16; 129.1 
CHI.P47.W16; 82.42 
CHI.P48.W16; 128.11 
BSF.P31.W16; 48.24 
BSF.P32.W16; 98.27 
BSF.P33.W16; 293.49 
BSF.P34.W16; 465.67 
BSF.P37.W16; 370.82 
BSF.P38.W16; 380.83 
BSF.P40.W16; 268,00 
BSF.P41.W16; 29.82 
BSF.P52.W16; 121.2 
BSF.P70.W16; 152.89 
HC.P31.W16; 253.37 
HC.P32.W16; 191.58 
HC.P34.W16; 213.59 
HC.P36.W16; 310.73 
HC.P37.W16; 208,00 
HC.P40.W16; 93.78 
HC.P42.W16; 366.6 
HC.P46.W16; 164.93 
HC.P54.W16; 357.91 
HC.P61.W16; 288.49 
MW.P31.W16; 459.11 
MW.P37.W16; 128.7 
MW.P40.W16; 292.49 
MW.P42.W16; 327.18 
MW.P43.W16; 304.82 
MW.P44.W16; 212.95 
MW.P45.W16; 405.44 
MW.P46.W16; 278.15 
MW.P47.W16; 424.04 
MW.P68.W16; 143.75 
