,from,to,weight,positive_negative,weighted_edge_betweenness
1,Pr_cat_,Mp,0.0920205481792576,positive,0
2,Pr_cat_,Spi,0.089990885506749,positive,1
3,Pr_cat_,Plx_coc_,0.0893540572112381,positive,0
4,Pr_cat_,C_rub,0.100668517781078,positive,0
5,Pr_cat_,Paras,0.0914923248258665,positive,1
6,Pr_cat_,Hov_lar_,0.0884982942713974,positive,0
7,Pr_cat_,Ag_cat_,0.104218893620887,positive,0
8,Pr_cat_,ASV_3,0.0987358111032767,positive,0
9,Pr_cat_,ASV_12,0.0887986182485145,positive,3
10,Pr_cat_,ASV_5,0.0867369025801574,positive,0
11,Pr_cat_,ASV_10,0.0864535348173957,positive,0
12,Pr_cat_,ASV_7,0.0933788897680859,positive,0
13,Pr_cat_,ASV_11,0.0876103768904358,positive,0
14,Pr_cat_,ASV_16,0.109660037681908,positive,0
15,Pr_cat_,ASV_19,0.108211524923115,positive,0
16,Pr_cat_,ASV_22,0.118274314090355,positive,0
17,Pr_cat_,ASV_32,0.0896008884301901,positive,0
18,Pr_cat_,ASV_15,0.0925337552610138,positive,0
19,Pr_cat_,ASV_17,0.105393948395696,positive,0
20,Pr_cat_,ASV_31,0.105850332030399,positive,0
21,Pr_cat_,ASV_18,0.101653258472204,positive,0
22,Pr_cat_,ASV_40,0.0862134682783832,positive,0
23,Pr_cat_,ASV_26,0.106667013233035,positive,0
24,Pr_cat_,ASV_44,0.0972101791445318,positive,0
25,Pr_cat_,ASV_43,0.0932054104182893,positive,0
26,Pr_cat_,ASV_34,0.113547629730232,positive,0
27,Pr_cat_,ASV_53,0.111077652743525,positive,0
28,Pr_cat_,ASV_38,0.113640660441772,positive,0
29,Pr_cat_,ASV_55,0.0982695265977146,positive,0
30,Pr_cat_,ASV_86,0.118503062923752,positive,0
31,Pr_egg_,Mp,0.11192235825603,positive,0
32,Pr_egg_,ASV_12,-0.0940500130073894,negative,3
33,Pr_egg_,ASV_5,-0.0850203659297272,negative,0
34,Pr_egg_,ASV_10,-0.104993680505276,negative,0
35,Pr_egg_,ASV_7,-0.0981374098479186,negative,0
36,Pr_egg_,ASV_11,-0.10409674683958,negative,0
37,Pr_egg_,ASV_16,-0.0869003479010486,negative,0
38,Pr_egg_,ASV_13,-0.105712606950548,negative,0
39,Pr_egg_,ASV_19,-0.100635872998872,negative,0
40,Pr_egg_,ASV_22,-0.10707313482071,negative,0
41,Pr_egg_,ASV_30,-0.0983118986494785,negative,0
42,Pr_egg_,ASV_15,-0.0926118854929019,negative,0
43,Pr_egg_,ASV_17,-0.111818526379256,negative,0
44,Pr_egg_,ASV_18,-0.102460665081149,negative,0
45,Pr_egg_,ASV_40,-0.110773334014749,negative,0
46,Pr_egg_,ASV_26,-0.0892390737328442,negative,0
47,Pr_egg_,ASV_35,-0.110690812724334,negative,0
48,Pr_egg_,ASV_44,-0.101828545497693,negative,0
49,Pr_egg_,ASV_43,-0.110006598215542,negative,0
50,Pr_egg_,ASV_38,0.126282484567235,positive,0
51,Pr_egg_,ASV_86,-0.0731889034666524,negative,0
52,Pr_egg_,ASV_94,-0.0578469693972229,negative,2
53,Mp,Spi,-0.0700680590982121,negative,1
54,Mp,Plx_coc_,-0.073715520828376,negative,0
55,Mp,Mb_cat_,-0.0699686201586394,negative,1
56,Mp,Paras,-0.07201781933663,negative,1
57,Mp,Hov_lar_,-0.0752008589259951,negative,0
58,Mp,Ag_cat_,-0.0770999566813188,negative,2
59,Mp,ASV_3,0.0899985696748797,positive,0
60,Mp,ASV_1,0.0910093142665426,positive,0
61,Mp,ASV_2,-0.0626418929147484,negative,2
62,Mp,ASV_12,-0.0571089551514094,negative,3
63,Mp,ASV_5,-0.0788416135686644,negative,1
64,Mp,ASV_10,-0.062547278077036,negative,1
65,Mp,ASV_7,-0.0795533757477895,negative,1
66,Mp,ASV_11,-0.058007203487744,negative,1
67,Mp,ASV_16,-0.0760670470468943,negative,1
68,Mp,ASV_19,-0.0810973404300456,negative,1
69,Mp,ASV_22,-0.0785607393994438,negative,1
70,Mp,ASV_32,0.110598167214005,positive,0
71,Mp,ASV_30,0.0965944928936929,positive,1
72,Mp,ASV_17,-0.0907247222475252,negative,0
73,Mp,ASV_31,-0.0929425244497078,negative,0
74,Mp,ASV_18,-0.108072256970654,negative,0
75,Mp,ASV_40,-0.0936558877754971,negative,0
76,Mp,ASV_26,-0.103382872116132,negative,0
77,Mp,ASV_35,-0.0863112626035892,negative,0
78,Mp,ASV_44,-0.10614789080277,negative,0
79,Mp,ASV_43,-0.0968748698460825,negative,0
80,Mp,ASV_34,-0.107125826869211,negative,0
81,Mp,ASV_52,0.110535889733834,positive,0
82,Mp,ASV_38,0.128898851919525,positive,0
83,Mp,ASV_86,-0.0916229439957496,negative,0
84,Mp,ASV_94,-0.0839696383913674,negative,0
85,Spi,Plx_coc_,-0.0986625661212219,negative,0
86,Spi,Mb_cat_,-0.098297109601603,negative,0
87,Spi,C_rub,-0.099470289995974,negative,0
88,Spi,Paras,-0.0860704588304976,negative,1
89,Spi,Hov_lar_,-0.0978085004815283,negative,0
90,Spi,Ag_cat_,-0.0933867578080056,negative,0
91,Spi,ASV_3,-0.108731339269582,negative,0
92,Spi,ASV_2,0.121923973545796,positive,0
93,Spi,ASV_12,0.11627650677585,positive,0
94,Spi,ASV_5,0.0999911312531028,positive,0
95,Spi,ASV_10,0.0942713464334084,positive,0
96,Spi,ASV_7,0.110164886431238,positive,0
97,Spi,ASV_11,-0.0828251361683214,negative,0
98,Spi,ASV_16,-0.0848570674633098,negative,1
99,Spi,ASV_19,-0.0970233721074248,negative,0
100,Spi,ASV_22,-0.080565484620651,negative,1
101,Spi,ASV_32,-0.0992323992681929,negative,0
