,from,to,weight,positive_negative,weighted_edge_betweenness
1,Pr_cat_,Spi,0.0622429643224063,positive,1
2,Pr_cat_,ASV_3,0.0640537090893218,positive,0
3,Pr_cat_,ASV_5,0.0683157914813051,positive,0
4,Pr_cat_,ASV_7,0.073881729360663,positive,0
5,Pr_cat_,ASV_11,0.063233611916756,positive,0
6,Pr_cat_,ASV_32,0.066288609345388,positive,0
7,Pr_cat_,ASV_35,0.0646179398814458,positive,0
8,Pr_cat_,ASV_44,-0.0643844581700718,negative,0
9,Pr_cat_,ASV_43,-0.0623981831484513,negative,0
10,Pr_cat_,ASV_34,-0.0793075664653694,negative,0
11,Pr_cat_,ASV_53,-0.0760031541898121,negative,0
12,Pr_cat_,ASV_75,-0.0846794104161641,negative,0
13,Pr_cat_,ASV_86,-0.0714838048556523,negative,0
14,Pr_egg_,Spi,-0.0694280053737756,negative,1
15,Pr_egg_,Plx_coc_,-0.070968690244596,negative,0
16,Pr_egg_,Mb_cat_,-0.0814384659276837,negative,0
17,Pr_egg_,C_rub,-0.0809261484050054,negative,0
18,Pr_egg_,Paras,-0.0259478058142236,negative,12
19,Pr_egg_,ASV_3,-0.084129517907324,negative,0
20,Pr_egg_,ASV_1,-0.0773984817546901,negative,0
21,Pr_egg_,ASV_2,0.0978828800942453,positive,0
22,Pr_egg_,ASV_12,-0.042661206167864,negative,1
23,Pr_egg_,ASV_5,-0.0479229753668379,negative,0
24,Pr_egg_,ASV_10,-0.0526993692754033,negative,1
25,Pr_egg_,ASV_7,-0.0489355569022538,negative,1
26,Pr_egg_,ASV_16,-0.0553697640127638,negative,0
27,Pr_egg_,ASV_19,-0.0505711366503786,negative,2
28,Pr_egg_,ASV_22,0.0685961080937463,positive,0
29,Pr_egg_,ASV_32,0.0675513951559693,positive,0
30,Pr_egg_,ASV_15,-0.0404845620569375,negative,2
31,Pr_egg_,ASV_31,-0.036431288475071,negative,3
32,Pr_egg_,ASV_40,-0.0544843658637727,negative,0
33,Pr_egg_,ASV_26,-0.0435444030271401,negative,4
34,Pr_egg_,ASV_35,-0.0603023870524699,negative,0
35,Pr_egg_,ASV_44,-0.0335471324124973,negative,6
36,Pr_egg_,ASV_43,0.0729084421925225,positive,0
37,Pr_egg_,ASV_34,0.0658246598579191,positive,0
38,Pr_egg_,ASV_75,-0.0619577231527725,negative,0
39,Pr_egg_,ASV_59,-0.0656430384945236,negative,0
40,Pr_egg_,ASV_86,-0.0786445152648208,negative,0
41,Spi,Plx_coc_,-0.0711354234383605,negative,0
42,Spi,Mb_cat_,-0.0266267962177519,negative,15
43,Spi,C_rub,-0.080910842611901,negative,0
44,Spi,Paras,-0.0682942414263397,negative,0
45,Spi,ASV_3,0.0942648662848037,positive,0
46,Spi,ASV_1,0.0965512325264827,positive,0
47,Spi,ASV_2,0.06342702631221,positive,0
48,Spi,ASV_12,0.0663046025347608,positive,1
49,Spi,ASV_5,-0.0589294669217829,negative,2
50,Spi,ASV_10,-0.0550570678313107,negative,1
51,Spi,ASV_7,-0.071044971174512,negative,1
52,Spi,ASV_11,-0.0723827913300295,negative,1
53,Spi,ASV_16,-0.0752401103298427,negative,0
54,Spi,ASV_19,-0.0652806219760408,negative,2
55,Spi,ASV_22,0.0871793500086811,positive,0
56,Spi,ASV_32,0.0897670251992043,positive,0
57,Spi,ASV_15,0.0637730083078532,positive,2
58,Spi,ASV_31,0.0869974539170473,positive,0
59,Spi,ASV_18,-0.0488383932533347,negative,5
60,Spi,ASV_40,-0.0577869926445291,negative,3
61,Spi,ASV_26,-0.068442542121592,negative,0
62,Spi,ASV_35,-0.0668191196632189,negative,1
63,Spi,ASV_44,-0.0680918396015306,negative,0
64,Spi,ASV_43,-0.0551754986530312,negative,0
65,Spi,ASV_34,0.0795716703415866,positive,0
66,Spi,ASV_53,0.0868882640269907,positive,0
67,Spi,ASV_96,0.0624824074683685,positive,1
68,Spi,ASV_75,0.0864507973906593,positive,0
69,Spi,ASV_59,0.0820247994527232,positive,0
70,Spi,ASV_86,-0.0554798628093804,negative,2
71,Spi,ASV_78,-0.0562562391992323,negative,1
72,Plx_coc_,Mb_cat_,-0.0727943871128027,negative,0
73,Plx_coc_,C_rub,-0.0686107747809594,negative,0
74,Plx_coc_,ASV_3,-0.0744226531068382,negative,0
75,Plx_coc_,ASV_1,-0.0652690186987868,negative,0
76,Plx_coc_,ASV_2,0.0842823674476541,positive,0
77,Plx_coc_,ASV_12,0.0921481910870039,positive,0
78,Plx_coc_,ASV_5,0.0627131800744813,positive,0
79,Plx_coc_,ASV_10,0.0684045887895197,positive,0
