"";"Family";"mean_abund_Control_Week.4";"mean_abund_Control_Week.8";"mean_abund_Control_Week.12";"mean_abund_Control_Week.16";"mean_abund_Manure_Week.4";"mean_abund_Manure_Week.8";"mean_abund_Manure_Week.12";"mean_abund_Manure_Week.16";"mean_abund_Chitin_Week.4";"mean_abund_Chitin_Week.8";"mean_abund_Chitin_Week.12";"mean_abund_Chitin_Week.16";"mean_abund_BSF_Week.4";"mean_abund_BSF_Week.8";"mean_abund_BSF_Week.12";"mean_abund_BSF_Week.16";"mean_abund_HC_Week.4";"mean_abund_HC_Week.8";"mean_abund_HC_Week.12";"mean_abund_HC_Week.16";"mean_abund_MW_Week.4";"mean_abund_MW_Week.8";"mean_abund_MW_Week.12";"mean_abund_MW_Week.16";"median_abund_Control_Week.4";"median_abund_Control_Week.8";"median_abund_Control_Week.12";"median_abund_Control_Week.16";"median_abund_Manure_Week.4";"median_abund_Manure_Week.8";"median_abund_Manure_Week.12";"median_abund_Manure_Week.16";"median_abund_Chitin_Week.4";"median_abund_Chitin_Week.8";"median_abund_Chitin_Week.12";"median_abund_Chitin_Week.16";"median_abund_BSF_Week.4";"median_abund_BSF_Week.8";"median_abund_BSF_Week.12";"median_abund_BSF_Week.16";"median_abund_HC_Week.4";"median_abund_HC_Week.8";"median_abund_HC_Week.12";"median_abund_HC_Week.16";"median_abund_MW_Week.4";"median_abund_MW_Week.8";"median_abund_MW_Week.12";"median_abund_MW_Week.16";"sd_Control_Week.4";"sd_Control_Week.8";"sd_Control_Week.12";"sd_Control_Week.16";"sd_Manure_Week.4";"sd_Manure_Week.8";"sd_Manure_Week.12";"sd_Manure_Week.16";"sd_Chitin_Week.4";"sd_Chitin_Week.8";"sd_Chitin_Week.12";"sd_Chitin_Week.16";"sd_BSF_Week.4";"sd_BSF_Week.8";"sd_BSF_Week.12";"sd_BSF_Week.16";"sd_HC_Week.4";"sd_HC_Week.8";"sd_HC_Week.12";"sd_HC_Week.16";"sd_MW_Week.4";"sd_MW_Week.8";"sd_MW_Week.12";"sd_MW_Week.16"
"1";"f__Aeromonadaceae";113,111111111111;1110,875;1048,33333333333;1569,2;250,8;919;2026,88888888889;1085,5;192,5;3835,75;1111,28571428571;1706,4;512,8;919,2;1501,66666666667;2385,4;271,6;523,8;1161,66666666667;1556,6;791,111111111111;2849,7;933,8;2778,9;79;584,5;721;1556,5;175,5;700,5;1800;926,5;91,5;3434,5;1146;1246,5;355;772;1286;2254;186;287,5;781;1373;363;1556;767,5;1984,5;132,627716225196;1208,00312647419;536,602506516695;608,898604950866;282,299210846301;648,193043947729;1111,26048301517;518,318917270053;281,16948230165;2574,57523542373;276,664486508909;1202,51285047419;572,39531794032;697,889644252983;752,17434814011;1005,5422196783;421,207048585108;484,136069027431;872,74996419364;742,103945998582;918,451610653012;2496,76408577182;826,077316801117;1933,07684792923
"2";"f__Bacillaceae";879,333333333333;357,875;185,111111111111;212,1;647,2;337,7;295,666666666667;268;1491,6;235,25;227,857142857143;279,5;403,9;366,4;155,111111111111;169,8;698,9;399,2;209,888888888889;432,6;452,222222222222;340,1;241,1;227,1;747;307;186;188;592;289;212;193;1177;224,5;174;268;417,5;271;156;174;693;384;191;379,5;423;356;221;222,5;397,361925705018;150,179357055869;87,99352880247;94,9882448867578;238,602319072273;171,703911817213;140,189157925997;171,128931251005;1026,17360454587;102,939302503951;123,265876017964;120,068730317265;127,878805471778;229,015380366569;31,8490362665986;51,7446722968762;253,612762560036;191,267003601423;123,401220055197;274,963512730932;153,621920455528;116,249205493103;113,397481845449;74,6226804962435
"3";"f__Clostridiaceae";23,3333333333333;10,25;5,11111111111111;4,8;63,8;20,7;11,1111111111111;11,8;34,9;8,25;7,14285714285714;5,1;26,3;14,8;9;4,5;117,2;20,8;11,7777777777778;22,2;47;11,7;6,4;12,4;21;11;5;5;56,5;17,5;12;9;27;8,5;5;6;24,5;13,5;8;3;96,5;16,5;7;21;51;11,5;4,5;8,5;16,9484512566783;5,52268050859363;3,68932393686311;3,99444058105206;26,8195616833849;12,832683966255;5,86183513168966;10,1849562263828;24,2690932852649;4,65218842512394;6,03955217513604;3,6040101122068;12,3472894011421;11,6313751933677;4,66368952654441;3,86580450158107;50,6223490389593;11,4484351186818;10,9176208234415;12,5326240934078;18,0762274825252;6,88072993543886;4,0879225911349;12,5361698917794
"4";"f__Comamonadaceae";18,7777777777778;215,25;282,888888888889;63,8;41;180;158;59,4;16,2;147,625;158,285714285714;95,7;108,2;72,3;417,222222222222;58,5;9,4;104,2;123,555555555556;67,9;55,2222222222222;71,4;104,9;79,5;13;101,5;222;52,5;24,5;142;166;57,5;8,5;79,5;141;51;26,5;52,5;228;52,5;10;72,5;123;57;38;70;109,5;61;24,6362424984908;289,379508604186;176,187715551088;38,8209565398209;47,5581515386982;129,810117736125;39,5758764906098;26,3615882172022;22,1700498671318;161,013697287795;69,779926162458;106,617749199861;178,92754585772;80,5716382413122;383,55794144359;23,1624696438009;5,92921205182911;107,407634737946;36,3940623972892;46,5914870621948;47,8925301528792;25,4174043608793;33,2547406812589;75,439821491482
"5";"f__Enterobacteriaceae";5725,44444444444;4777;2183,55555555556;1958,8;6843,9;6175,9;3273,55555555556;2395,5;4710,4;4028,75;2434;2390,8;9280,7;6338,7;2757,88888888889;2745,4;6099,8;7130,5;3270;2661,9;6704,44444444444;4946,1;3153,3;2045;5638;4285,5;2115;1746;7355;6334;2318;2725;4313;3147,5;2090;2544;10003,5;6291;2567;2614;6004;7584,5;2119;2743,5;5526;5300,5;2667,5;1870;4072,20128158933;1986,17665737107;631,125009627869;709,010546857771;3168,74098552301;2303,47584942601;2494,11322473094;925,271041371122;2463,01942970637;3271,61715145802;1311,1037335009;783,134130699631;3818,0813695421;1462,7554705646;1013,14762552706;902,843926465453;2532,75233688571;2978,61135617104;2495,17769908277;1036,58160958669;3376,18527746594;1360,91157766485;2289,17331269512;1017,77196747492
"6";"f__Erwiniaceae";2214,66666666667;396,5;279,888888888889;165,6;758,6;298,8;228,888888888889;247,3;1221,6;321;189;130,4;167,4;440,1;140,333333333333;134,8;876,9;214;186,111111111111;341,1;314,777777777778;361,8;192,7;111,8;630;406,5;276;164;553,5;208,5;228;171,5;657,5;235;174;98,5;64;241;140;117,5;444;183,5;122;247,5;300;318;139,5;98,5;3459,29299134953;180,321934328578;162,806975007556;60,7457360186247;728,449525438181;236,105343720411;135,427512386188;297,851211923746;1282,73996672054;327,052202036835;74,5341085231006;78,7333051086599;191,429244253733;498,556237772854;58,2258533642917;98,2036432906415;1386,12268576775;115,995210629098;154,55132193259;246,881190499038;236,986169310457;228,730214687765;190,761078024027;62,4834200230571
"7";"f__Micrococcaceae";366,888888888889;232,125;92,1111111111111;142,1;182,2;226,6;147;176,6;407,3;123,875;160;163,5;239,2;135,3;100,222222222222;173,6;221,8;226,5;103,111111111111;253,1;221,111111111111;142,9;258,5;251,9;268;178;76;119,5;183;190,5;150;170,5;375;96,5;106;154,5;190,5;124;79;144;201;200,5;88;193,5;162;136,5;123;237,5;312,978611267785;131,918197055166;48,9322093422227;59,9285685907259;74,8907352228713;115,943664481218;84,2229184960958;75,4809762640745;242,850228192879;99,5768726734706;156,016024817965;66,6570826444322;175,839446971125;60,5861186888365;60,6852077894147;113,246241046275;104,411365920255;110,123415614785;56,6137007367573;185,047411342187;175,528092085316;50,8995743269692;403,628886203376;148,80595119521
"8";"f__Moraxellaceae";857,444444444444;743,875;216,555555555556;23,3;2062,7;324,9;274,333333333333;47,9;939,1;266;213,571428571429;33,2;1071,3;469,6;297,666666666667;47,9;2048;213,8;72,4444444444444;58,8;2114,88888888889;797,7;76;36,7;747;211,5;215;10;883;237,5;171;40;848,5;216;198;20;440,5;457;270;45,5;1369;199;67;8,5;1151;456;76;25;541,108840971738;1361,97833394766;54,6811464563224;28,280539048768;2627,41546221969;268,124535741634;238,139140000127;45,017157223046;655,337648341169;161,018188857213;54,7017889495921;40,5210507706248;1359,37183613936;236,21233385805;115,561671846681;29,3955778987248;1602,14058198538;97,4198245852569;39,1315445360617;95,1265823346275;1790,88465879607;1163,81365919692;38,2041300850517;40,1553926086591
"9";"f__Morganellaceae";0,222222222222222;1,875;30,4444444444444;32,7;1,3;62,1;22,3333333333333;12,1;0,1;15,375;47,2857142857143;15,1;1,7;23,2;40,8888888888889;103,3;0,2;44,7;16,5555555555556;9,6;3,44444444444444;11,4;14,5;135,3;0;0;23;11,5;0,5;17;12;5,5;0;14,5;40;6,5;0;4,5;18;35;0;17;10;3;1;5;5;82;0,666666666666667;4,22365785952008;32,2029156719974;52,6224497930515;1,56702123647242;97,8586849606218;36,0034720547894;14,8207812059809;0,316227766016838;12,3512578885137;32,0609538520731;19,3932978113574;4,16466618643613;39,5637319888922;44,7505431376102;139,298281077374;0,632455532033676;67,4191697104351;18,7557398621803;12,1764800606196;5,3877432917482;13,0741475184172;25,7994401317376;137,232203865484
"10";"f__Pectobacteriaceae";0,111111111111111;0;111,111111111111;12,6;0;2,2;4;39,2;0;1,75;97,7142857142857;10,7;0;13,6;122,666666666667;8,1;0;0;3,22222222222222;25,6;0;0,2;12,5;8,7;0;0;0;12;0;0;3;4;0;0;5;3;0;0;3;1;0;0;2;7,5;0;0;6,5;2,5;0,333333333333333;0;331,462458071968;7,0742098106039;0;6,95701085237043;3,278719262151;77,0523631478404;0;3,8821937833432;140,197140110767;20,8329333294933;0;39,8892912390726;313,493620349761;14,2863571283935;0;0;3,9616214413349;34,7409460627274;0;0,632455532033676;21,2092747007844;11,8794874562088
"11";"f__Planococcaceae";241,222222222222;102,875;57,3333333333333;57,9;165,4;95,6;81,1111111111111;67,4;482,3;58,25;74,8571428571429;72,7;84;96,2;41,2222222222222;44,5;189,5;106,7;61,4444444444444;132,8;110,555555555556;92,4;61,5;49,6;171;89,5;54;61;154,5;86;68;43,5;346;57;54;71,5;94,5;66;40;42,5;179;111;55;109;117;105;50,5;47,5;122,51813924658;54,9400647459185;28,1336097932704;18,1808812889927;47,256275303451;51,7734380632472;37,0858613370528;52,7071574308883;427,276140218477;22,5499445675594;48,4817098551216;26,7209863424072;28,4839135887843;69,6320488153424;11,0767524322088;12,0853446601889;79,5113548844161;54,0864534282332;39,834379344704;88,9266864082743;30,4183789472381;33,126692828862;29,04115853214;17,544863129196
"12";"f__Pseudomonadaceae";2425,66666666667;4308;7360,44444444444;6499,3;2559;4988;5926,77777777778;7128,3;2665,4;4099,875;6680,14285714286;6230,6;2272,7;3659,3;6774,22222222222;6482,6;2492,6;3384,9;5623,55555555556;6707,3;3034,33333333333;3440,8;5336,6;6220;1875;4088,5;7686;6724;2071,5;4728,5;6169;7809;2338;4251,5;7136;6438;1691;4256;6592;6873,5;1249,5;3064,5;6004;7716;2402;3177,5;6426;6307,5;1873,03690566951;1716,83412960351;1680,01793971903;1233,50089402301;1244,79128103202;1481,51784029458;2220,0458766531;2616,49069684313;1997,6302738773;1300,7702594452;1403,36849859798;1151,3115419671;1375,38407161216;1540,23101081191;1206,45211029881;1385,78964252636;2830,15069092325;1782,92384395221;2328,93200368276;2225,27916101429;1753,60093807;988,824756971628;2761,85618742179;927,821103446133
"13";"f__Rhizobiaceae";226,222222222222;275,25;386,888888888889;175,2;149,3;162,9;343,111111111111;165,4;120,7;60,5;252,142857142857;246,5;100,5;226;300,777777777778;176;75,7;180,7;262,888888888889;216,5;96,3333333333333;128,1;214,3;200,6;165;244,5;371;158;137,5;167,5;337;132,5;106,5;49;297;124;71,5;110,5;322;132,5;55;135,5;245;168;64;117;164,5;106;214,609982164028;252,936892185722;251,536500554315;101,54561098891;121,691823883119;85,6614135873193;285,603503324296;118,880145057486;78,0712637416753;38,6633824549423;104,609477855225;297,362573300676;87,7284319806172;371,37312773005;177,641336530787;123,47379389076;38,4651357292115;116,360598524109;171,495950713453;165,805274008063;67,9466702642595;81,1739558670828;121,192271480762;243,775032902606
"14";"f__Sphingomonadaceae";24,5555555555556;21,375;8,77777777777778;8,8;18,6;17,5;15,6666666666667;6,9;38,4;6,75;13;11,5;8,4;13,5;10,2222222222222;12,2;17,8;17;8,66666666666667;15,8;14,4444444444444;18,6;6,1;7,1;22;19,5;9;8;18,5;12;10;6,5;31,5;6;12;10;6,5;10,5;7;11;17;17,5;5;15;15;21;5;6,5;16,0632430653893;10,83562246877;4,17665469538056;3,48966728754731;10,9158396633312;14,6382300083643;11,5542200082913;4,95423500093046;40,8498606008773;5,87367006223537;9,76387901058454;5,1478150704935;6,29285308902091;10,1789543230683;8,88506862350789;6,54556677793791;9,07744457432817;9,7524925588852;10,3319891598859;9,04064894425911;6,44420497639373;10,3408574757287;2,96085573216033;4,95423500093046
"15";"f__Xanthomonadaceae";15,5555555555556;304,25;291,333333333333;24,5;5,4;104;144,555555555556;37,1;5,6;20,125;161,714285714286;66,6;7,1;23,7;218,444444444444;38,8;5,2;88,3;132;24,3;7,33333333333333;53,1;124,2;39,3;15;165,5;292;17;5;97,5;123;23,5;3,5;15,5;174;44;5;19,5;219;28,5;3,5;50,5;141;16,5;5;43,5;129,5;43;8,83333333333333;378,668249074494;124,871934396805;28,6094390018399;3,3065591380366;73,8993309246512;81,0603341824951;28,4622557082182;4,7656176001764;13,9533662093213;73,3841815055404;82,6911254139295;5,74359546703012;20,6400366063414;107,682532370751;23,5739969740673;6,21467796609142;127,693252236235;88,5988148904939;18,7737997101161;5,1720402163943;30,2120285096295;64,3856436724144;29,6499953157201
"16";"f__Yersiniaceae";1590,33333333333;2552,375;2284,66666666667;2705,5;1719,6;1753;1626,88888888889;2898,1;2328,1;2527,875;3350,42857142857;2775,6;1768,1;3091,6;2171,44444444444;2164,4;2449,4;2732,9;3363,33333333333;2214,7;1937,11111111111;2466;4105,3;2228,3;752;2146;1808;1888;1181;1801;1521;1641;1530;2013,5;3395;2257;755;2655;1986;2223;1460;1372;4317;1526,5;1359;1914;3986;1295,5;2229,55001065237;2292,23440196927;2120,43857491793;1811,86130509178;1879,42362323015;883,049639978788;991,997031805595;3070,56243309846;2338,44988780555;2433,76994085308;1926,06203232942;1633,71173847911;2489,67800015272;2391,01030250116;1538,72854258891;1147,50930279454;2522,94295527179;2392,15618451453;2326,01934643717;1610,86754059213;1635,60779562556;1701,17528001477;2150,58710588527;2102,25736081744
