Row.names,Degree,ClosenessCentrality,BetwenessCentrality,EigenvectorCentrality,OTU,Phylum,Class,Order,Family,Genus,module,Zi,Pi,Total_freq,MW,MAN,HC,BSF,CHI,CO
Ag_coc_,15,1.01206222177459,0.00107744547472901,0.307106922904588,Ag_coc_,Arthropoda,Insecta,Lepidoptera,Noctuidae,Autographa,3,0,0.586666666666667,2,2,0,0,0,0,0
ASV_1,13,0.898515847711521,6.52997257411519e-05,0.519017861659133,ASV_1,p__Proteobacteria,c__Gammaproteobacteria,o__Aeromonadales,f__Aeromonadaceae,g__Aeromonas,1,0.677772085586298,0.591715976331361,68609,10957,11110,8809,13757,10789,12524
ASV_10,11,0.910670073544128,6.52997257411519e-05,0.23666935050668,ASV_10,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Oxalobacteraceae,g__Janthinobacterium,3,-1.17369119465393,0.628099173553719,48438,6828,7010,5041,6522,10569,11968
ASV_11,14,0.991770646676658,0.00016324931435288,0.267993826564611,ASV_11,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,,2,0.240436882332495,0.602040816326531,39518,6295,3115,10488,6384,5216,7687
ASV_12,3,0.763277657559951,3.26498628705759e-05,0.00254259319644906,ASV_12,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,2,-1.86338583807683,0.444444444444444,12208,1839,1310,1534,1316,2829,3031
ASV_16,14,0.975729846195216,0.000587697531670367,0.377382455830663,ASV_16,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,3,0.391230398217976,0.520408163265306,61554,10418,5282,12290,7124,8921,16578
ASV_19,13,0.922676750493651,0.000946846023246702,0.350101679947127,ASV_19,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,2,0.240436882332495,0.591715976331361,5227,864,574,753,1149,703,1031
ASV_22,9,0.949525614802077,3.26498628705759e-05,-0.0364365954206376,ASV_22,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,3,-0.391230398217976,0.37037037037037,25667,5551,2478,3083,3422,3636,7368
ASV_3,17,1.07586646540699,0.000783596708893823,0.191289653419525,ASV_3,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,2,0.240436882332495,0.650519031141868,40214,9838,5825,3787,8530,5987,5162
ASV_32,12,1.00225799331039,0.000489747943058639,0.0583162603839052,ASV_32,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,3,0,0.486111111111111,23398,3926,2626,4464,4700,3276,3428
ASV_34,3,0.798182056616638,0,0.00848908130594899,ASV_34,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Oxalobacteraceae,g__Janthinobacterium,3,-1.95615199108988,0,14721,3034,2639,1143,1844,3290,2571
ASV_35,14,1.02221296321025,0.000391798354446911,0.231785324043828,ASV_35,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Bacillus,2,-0.180327661749371,0.642857142857143,5376,841,823,1108,672,788,1089
ASV_38,10,0.993745843047305,0.000718296983152671,-0.0850866950688469,ASV_38,p__Actinobacteriota,c__Actinobacteria,o__Micrococcales,f__Micrococcaceae,g__Pseudarthrobacter,2,-0.180327661749371,0.56,5518,661,665,1596,751,771,996
ASV_40,16,1.06536917323116,0.000587697531670367,0.0166953442783861,ASV_40,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,3,-0.391230398217976,0.6328125,10216,1607,1363,1736,1329,1676,2312
ASV_43,9,0.941719318181054,0.000652997257411519,0.0738842688034586,ASV_43,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,2,-0.180327661749371,0.493827160493827,8647,954,906,1350,1277,1904,1999
ASV_44,2,0.759576473305089,6.52997257411519e-05,-0.0410564412381391,ASV_44,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,2,-2.2841503821587,0.5,14269,2242,3033,3279,3351,918,1108
ASV_5,15,1.0138454102387,0.00016324931435288,0.369620990452137,ASV_5,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,1,-0.774596669241483,0.657777777777778,30894,4079,3453,4509,9497,5503,3360
ASV_7,14,0.988331088321913,0.000228549040094032,0.191215918668579,ASV_7,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,,1,-0.290473750965556,0.663265306122449,34721,3938,2731,6680,5239,9242,6784
c_bug,22,1.09092408206368,0.00111009533759958,0.530888398778242,c_bug,Arthropoda,Insecta,Hemiptera,Pentatomidae,Eurydema,2,1.08196597049623,0.65702479338843,5,0,1,0,0,2,2
C_rub,15,0.765024742068815,0,0.745438421252554,C_rub,Arthropoda,Insecta,Hymenoptera,Braconidae,Cotesia,3,0.782460796435952,0.497777777777778,27,3,5,7,1,3,8
Cic,23,1.03595252671113,0.000652997257411519,0.251514064572824,Cic,Arthropoda,Insecta,Hemiptera,Cicadoidea,,1,1.16189500386223,0.665406427221172,5,1,0,0,2,2,0
Ev_X_cat_,14,1.05646443961126,0.000652997257411519,0.166827603701164,Ev_X_cat_,Arthropoda,Insecta,Lepidoptera,Crambidae,Evergestis,2,0.66120142641436,0.571428571428571,8,1,0,3,1,2,1
Fly,25,0.970975052595613,6.52997257411519e-05,0.254323700845156,Fly,Arthropoda,Insecta,Diptera,,,3,1.17369119465393,0.6496,4,1,0,0,0,2,1
Ful,20,1.13929029249232,0.0017630925950111,0.331027721054703,Ful,Arthropoda,Insecta,Hemiptera,Fulgoroidea,,2,1.08196597049623,0.635,4,1,2,0,0,0,1
Gm,13,1.04563294909219,0.000652997257411519,-0.1257793331407,Gm,Arthropoda,Insecta,Diptera,Cecidomyiidae,,2,0.240436882332495,0.603550295857988,19,4,3,0,0,1,11
Hov_coc_,22,1.19717915961295,0.00316703669844587,0.26579791571192,Hov_coc_,Arthropoda,Insecta,Diptera,Syrphidae,,3,1.95615199108988,0.566115702479339,3,1,1,0,1,0,0
Hov_lar_,18,1.06479558171788,0.000652997257411519,-0.126593854453885,Hov_lar_,Arthropoda,Insecta,Diptera,Syrphidae,,3,0.391230398217976,0.623456790123457,17,4,2,4,4,1,2
Mm,23,1.10589446641426,0.00156719341778765,0.191170586886844,Mm,Arthropoda,Insecta,Hymenoptera,Braconidae,Microplitis,1,1.16189500386223,0.665406427221172,5,0,1,1,0,0,3
Mp,11,0.760900898027985,0,0.617088972910991,Mp,Arthropoda,Insecta,Hemiptera,Aphididae,Myzus,1,-0.290473750965556,0.644628099173554,21,0,0,9,6,1,5
Oi,23,0.964678407654999,0.000195899177223456,0.176754380981181,Oi,Arthropoda,Insecta,Hemiptera,Anthocoridae,Orius,3,0.782460796435952,0.650283553875236,7,2,1,0,0,4,0
Paras,6,0.650760578316838,0,0.346332673327183,Paras,Arthropoda,Insecta,Hymenoptera,,,1,-1.74284250579334,0.666666666666667,40,10,3,9,4,8,6
Pb_cat_,11,0.777443385591833,0,0.388084619421423,Pb_cat_,Arthropoda,Insecta,Lepidoptera,Pieridae,Pieris,3,-0.782460796435952,0.59504132231405,26,26,0,0,0,0,0
Phu,12,0.780156616093148,0,0.501788492489448,Phu,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Phyllotreta,3,-0.391230398217976,0.569444444444444,3,0,1,0,0,1,1
Plx_cat_,15,0.766351064275092,0,0.558539539585319,Plx_cat_,Arthropoda,Insecta,Lepidoptera,Plutellidae,Plutella,2,-0.180327661749371,0.657777777777778,14,2,2,1,1,6,2
Plx_coc_,10,0.731886625358241,0,0.556929003234721,Plx_coc_,Arthropoda,Insecta,Lepidoptera,Plutellidae,Plutella,1,-0.290473750965556,0.62,31,3,4,6,5,7,6
Pr_coc_,19,0.845437137585782,0.000261198902964608,0.816266461959351,Pr_coc_,Arthropoda,Insecta,Lepidoptera,Pieridae,Pieris,2,1.08196597049623,0.631578947368421,1,0,0,1,0,0,0
Spi,7,0.773550951259086,0,0.446913993523499,Spi,Arthropoda,Arachnida,,,,1,-0.774596669241483,0.571428571428571,30,2,5,3,6,2,12
Thr,23,0.868229620944524,6.52997257411519e-05,1,Thr,Arthropoda,Insecta,Thysanoptera,,,1,1.16189500386223,0.642722117202268,2,2,0,0,0,0,0
Un_cat,9,0.886541654769584,3.26498628705759e-05,0.161428301003731,Un_cat,Arthropoda,Insecta,Lepidoptera,,,3,-1.17369119465393,0.592592592592593,6,2,1,1,0,0,2
Un_coc,19,1.01704547126573,0.000359148491576335,0.458698384478128,Un_coc,Arthropoda,Insecta,Lepidoptera,,,3,0.782460796435952,0.609418282548477,4,1,1,1,0,0,1
