"";"Family";"mean_abund_Control_Week.4";"mean_abund_Control_Week.8";"mean_abund_Control_Week.12";"mean_abund_Control_Week.16";"mean_abund_Manure_Week.4";"mean_abund_Manure_Week.8";"mean_abund_Manure_Week.12";"mean_abund_Manure_Week.16";"mean_abund_Chitin_Week.4";"mean_abund_Chitin_Week.8";"mean_abund_Chitin_Week.12";"mean_abund_Chitin_Week.16";"mean_abund_BSF_Week.4";"mean_abund_BSF_Week.8";"mean_abund_BSF_Week.12";"mean_abund_BSF_Week.16";"mean_abund_HC_Week.4";"mean_abund_HC_Week.8";"mean_abund_HC_Week.12";"mean_abund_HC_Week.16";"mean_abund_MW_Week.4";"mean_abund_MW_Week.8";"mean_abund_MW_Week.12";"mean_abund_MW_Week.16";"median_abund_Control_Week.4";"median_abund_Control_Week.8";"median_abund_Control_Week.12";"median_abund_Control_Week.16";"median_abund_Manure_Week.4";"median_abund_Manure_Week.8";"median_abund_Manure_Week.12";"median_abund_Manure_Week.16";"median_abund_Chitin_Week.4";"median_abund_Chitin_Week.8";"median_abund_Chitin_Week.12";"median_abund_Chitin_Week.16";"median_abund_BSF_Week.4";"median_abund_BSF_Week.8";"median_abund_BSF_Week.12";"median_abund_BSF_Week.16";"median_abund_HC_Week.4";"median_abund_HC_Week.8";"median_abund_HC_Week.12";"median_abund_HC_Week.16";"median_abund_MW_Week.4";"median_abund_MW_Week.8";"median_abund_MW_Week.12";"median_abund_MW_Week.16";"sd_Control_Week.4";"sd_Control_Week.8";"sd_Control_Week.12";"sd_Control_Week.16";"sd_Manure_Week.4";"sd_Manure_Week.8";"sd_Manure_Week.12";"sd_Manure_Week.16";"sd_Chitin_Week.4";"sd_Chitin_Week.8";"sd_Chitin_Week.12";"sd_Chitin_Week.16";"sd_BSF_Week.4";"sd_BSF_Week.8";"sd_BSF_Week.12";"sd_BSF_Week.16";"sd_HC_Week.4";"sd_HC_Week.8";"sd_HC_Week.12";"sd_HC_Week.16";"sd_MW_Week.4";"sd_MW_Week.8";"sd_MW_Week.12";"sd_MW_Week.16"
"1";"f__Aeromonadaceae";363,2;434,222222222222;1681,44444444444;1574,2;148,5;1526;1378,2;1563;63,1111111111111;1159,3;1187,7;1307,1;678,3;945,444444444444;1345;1781;534,8;682,7;1031,6;1362,2;1184,9;1292,6;1012,11111111111;1818,4;130,5;259;776;1457,5;112,5;1188,5;1119;913;40;843,5;1143;1049;237,5;1020;1343,5;1645,5;228;549,5;842;839,5;742;1133;752;1597;515,730506714074;376,896795481793;1762,82714064022;439,113956356054;113,049890657965;1115,14622857772;1014,43852012387;1528,68912616151;66,5928758285082;986,116180894636;490,077782941987;993,527771797715;1197,37027133075;414,442429992125;480,838388188335;794,827025207372;893,939570416007;474,181411604368;694,896986770142;1059,85604892572;1158,64580437682;595,360059123889;652,296605166017;761,936596953958
"2";"f__Bacillaceae";1124,1;381,555555555556;282,555555555556;278,1;689,7;244;211,3;219,7;1038,55555555556;471,8;217,1;210,9;520,8;296,888888888889;190,6;192,1;512,6;301,6;413;255,5;455,4;403,9;221,444444444444;216,1;891,5;403;275;262;635,5;225;209;191;1085;429;203,5;181,5;399;270;178,5;181,5;487,5;348;425;274;432;316,5;165;172;708,631772424077;150,957867558394;102,883564177072;145,08729173233;363,332125380255;95,2820374817135;48,5822326919352;95,4079544785327;401,573813610621;276,262676933868;38,6449651744355;129,326846916382;288,65350239421;181,067283381375;73,7717199654899;79,2232429418427;221,701100082471;175,154661815081;239,31058387701;125,508963823306;336,932304443753;277,018430995324;161,411826635404;131,858889221268
"3";"f__Clostridiaceae";34,1;19,5555555555556;6,11111111111111;8,4;41,5;13,1;8,4;7,5;26,6666666666667;11,7;7,2;5,4;29,1;10,3333333333333;6,4;5,1;69,7;10,8;10,9;12,2;12;8,8;6,66666666666667;6;32,5;18;4;8;36,5;11,5;7,5;7,5;22;7;5;6;21;7;6;4;83;11;10,5;9,5;12;8,5;5;4,5;21,5532931229649;7,68295371441074;4,91030662088541;5,0815570667092;13,9622506940838;7,06242010770938;6,70323305079969;5,35931173027118;12,6688594593199;11,776152927751;4,70932880331983;4,47710223743488;16,6563301280124;6,59545297913646;4,42718872423573;3,9846929339383;24,9535123334928;7,22341870431015;6,5565912552857;8,40370288755036;8,81917103688197;4,36653943835008;4,74341649025257;5,01109879279097
"4";"f__Comamonadaceae";25,5;129,222222222222;191,333333333333;71,7;22,2;101,7;133,1;56,8;12,4444444444444;87,1;230,3;55,7;42;60,7777777777778;187,3;68,9;27,6;52,6;168,1;96,6;70,3;90,5;77,1111111111111;73,7;15;106;147;75;13,5;97;96;55;9;72;172;34,5;40;55;164;63;31;32;161,5;61,5;63,5;75;74;69;35,6378388171274;104,451876213137;130,005769102759;20,0058324828869;15,4330093558508;25,9060267548349;91,5792916912261;24,6432321112489;10,3454230352257;73,9240601338067;115,909016042757;57,4940576639592;28,952067667478;25,4449296411769;109,128924773509;25,3616070293487;16,3516903645396;52,9280433964621;63,5845019551847;134,954477921672;37,2560211390201;48,876829320696;33,5426759682514;43,1226931750171
"5";"f__Enterobacteriaceae";4615,8;6212,33333333333;2860,22222222222;2492,7;8098,7;3754;2394,7;1775;4651,77777777778;5682,8;2282,6;2994,8;8830;6934;2511,3;2350,3;7410,7;6692,7;1748,3;2569,1;7441,6;6477,3;3283,66666666667;2138,9;4860;5415;2437;2074;9353,5;3451;2131;1894,5;2618;5445;2235;2716;8576;8097;2088;2022;7517,5;7000;1854;2109;7878;7010,5;2624;1741;2790,20161756577;3058,97041502529;2307,59689817014;860,792148095127;2955,50349348465;1178,7097465732;1530,23382744817;444,533963206912;3836,6241273344;3073,70900813116;631,144850428348;1535,33722680068;3886,98986649338;3472,90066083094;1299,08660647053;977,210434519266;3033,00013005092;3643,17331304577;618,598604373897;1241,5902392586;3653,15699696091;2657,41976151471;2154,31630685932;1066,55285330306
"6";"f__Erwiniaceae";1290,2;381,666666666667;381,111111111111;288,6;524;503,1;181,4;217,7;1210,88888888889;339,9;262;190,7;256;411,333333333333;217,4;149,1;1335,9;585,5;136,8;659;297,1;213;263,666666666667;95,9;332,5;300;179;270,5;356;357,5;175;90;1504;324,5;226;95,5;225;254;224;147;519;313,5;106,5;182,5;291;194,5;116;94,5;1640,32041585376;216,772922663325;422,87688647065;129,607270029287;422,839344327265;372,569292585658;113,808025493226;233,338595178766;968,633114812368;231,532311160043;140,466682486947;179,499334570107;178,353581405028;407,40428323718;77,1826117435498;44,0869091177365;1523,80018010528;748,456968257584;117,328408987575;1346,4867866662;152,422257050748;89,8752221446799;390,593778752299;40,7715859664819
"7";"f__Micrococcaceae";303,2;242,333333333333;120,111111111111;224,9;162,4;167;139,4;150,7;562,555555555556;147,7;181,1;129,4;250,9;96,6666666666667;93,4;122,2;172,1;149,6;150,4;410,5;124,6;143,3;111,777777777778;136,6;253,5;277;117;234;155,5;122,5;108;141;289;147;147;145,5;173,5;80;88;105,5;160;129;137,5;188,5;114,5;132;113;132,5;210,215656463124;114,943464364008;48,6375483665769;61,7188067861905;53,1187349246949;118,322534718549;113,352155299805;87,5113325994601;871,014080126021;64,4102303813438;97,7769002485875;46,2822260100402;180,928745950198;40,1746188532013;30,5475949226049;47,0833775811002;94,2036210674633;103,575200807057;83,1253404337223;592,518401026969;64,9858104170099;55,1262188073878;39,5151166573559;52,9763049757992
"8";"f__Moraxellaceae";1040,3;313,888888888889;226,333333333333;37,4;915,7;920,4;90,2;85,3;1386,66666666667;397,3;197,8;29,2;505,9;726,888888888889;239,5;20,9;1060,3;183,7;226;15,6;253,8;565,3;75,3333333333333;54,8;676;197;259;35;709,5;738,5;80,5;35;852;305,5;179,5;14;577;330;209;19;1062;110,5;141;6,5;219;274,5;59;52,5;1168,08086192695;277,912955997217;171,115458097742;10,9463337342794;848,912513487436;667,808222637474;47,8766934716442;119,023853818374;1350,99407844742;268,718377984586;76,0625473614387;53,1011613181231;329,248453974266;896,269134306828;115,84016766409;15,3727753584778;667,39327902586;171,828111786168;165,816498307952;23,0564524591274;143,587990831793;547,107555950179;53,8887743412299;19,0543083492072
"9";"f__Morganellaceae";1,2;15,1111111111111;59,7777777777778;13,5;4,8;21,9;6,3;22,3;1,88888888888889;58,1;85,5;32,6;0,1;5;46,5;63,5;1,7;8,2;14,8;9,2;21,1;14,5;22,7777777777778;18,9;0;13;17;4,5;0;19,5;5,5;8;0;18;61,5;21;0;1;25;34;0;3,5;11,5;5;12;13;9;13;3,79473319220206;8,32833183243266;117,385878385964;17,9520967515713;11,3705272036475;19,2841327981783;8,90754985641082;28,5464533699022;3,75647588986155;101,533191070156;76,0734294393691;27,4517758988376;0,316227766016838;7,72981241687015;62,7450750612703;96,7347461417619;3,02030167735315;11,3705272036475;13,8146460122742;12,2909180562994;33,04693631791;12,0577314984573;25,786516717937;19,0988655858579
"10";"f__Pectobacteriaceae";0,4;0;11;54,6;0;0,4;6;4,7;0;8,3;743,2;45,6;0;5,44444444444444;72,7;53,3;0;0,4;9;23;3,4;0,4;2,33333333333333;4,4;0;0;0;16,5;0;0;3;6,5;0;0;288;6,5;0;0;0,5;11,5;0;0;2;1,5;3;0;0;1;0,966091783079296;0;31,1528489868904;105,198436828268;0;0,966091783079296;11,1952370824978;3,12872000806862;0;23,8423060033118;1381,83218148145;92,9231462613654;0;9,95127015901879;222,548396734034;124,16570469426;0;0,966091783079296;17,0880074906351;38;3,02581485810939;1,26491106406735;5,24404424085076;9,19178377078622
