$Time_Field
$Time_Field$phylum_table
               Phylum  mean_imp   imp_sd   n
1   p__Proteobacteria 10.673549 5.910961 169
2       p__Firmicutes  6.297573 2.031521  39
3 p__Actinobacteriota  6.421531 3.012658  20
4     p__Bacteroidota  7.539399 2.802036  13
5    p__Crenarchaeota  6.127065 0.476684   2
6  p__Acidobacteriota  3.852842 0.000000   1
7    p__Cyanobacteria  8.655492 0.000000   1

$Time_Field$class_table
                    Class  mean_imp   imp_sd   n
1  c__Gammaproteobacteria 10.922313 5.909507 156
2              c__Bacilli  6.523164 2.185444  29
3       c__Actinobacteria  6.637336 3.095745  18
4  c__Alphaproteobacteria  7.688379 5.049805  13
5          c__Bacteroidia  7.539399 2.802036  13
6           c__Clostridia  5.643357 1.292348  10
7      c__Nitrososphaeria  6.127065 0.476684   2
8       c__Acidobacteriae  3.852842 0.000000   1
9       c__Coriobacteriia  3.915332 0.000000   1
10      c__Cyanobacteriia  8.655492 0.000000   1
11     c__Thermoleophilia  5.043251 0.000000   1

$Time_Field$order_table
                                    Order  mean_imp    imp_sd  n
1                     o__Enterobacterales 10.092924 5.2461898 64
2                      o__Pseudomonadales 12.424772 6.3028373 52
3                      o__Burkholderiales 10.600860 5.8319934 30
4                           o__Bacillales  6.795255 2.2591923 20
5                   o__Sphingobacteriales  7.842718 3.0232864 10
6                        o__Micrococcales  6.509056 2.8480829  9
7                          o__Rhizobiales  9.006638 5.5518506  9
8                        o__Clostridiales  5.552536 1.0621236  6
9                      o__Lactobacillales  6.047082 2.0762886  6
10                       o__Aeromonadales  7.738042 4.2611510  5
11                     o__Xanthomonadales 11.025911 7.6800458  5
12                   o__Corynebacteriales  8.041140 4.2977160  4
13                    o__Flavobacteriales  6.528337 1.4938123  3
14                 o__Propionibacteriales  5.007442 1.6559339  3
15                  o__Erysipelotrichales  6.440711 0.9684849  2
16                      o__Lachnospirales  5.202512 1.5701636  2
17                   o__Nitrososphaerales  6.127065 0.4766840  2
18                     o__Rhodobacterales  5.397310 0.8377640  2
19                         o__Chloroplast  8.655492 0.0000000  1
20                          o__Clostridia  5.023469 0.0000000  1
21                    o__Coriobacteriales  3.915332 0.0000000  1
22                          o__Gaiellales  5.043251 0.0000000  1
23                     o__Paenibacillales  4.102743 0.0000000  1
24 o__Peptostreptococcales-Tissierellales  7.689867 0.0000000  1
25                   o__Pseudonocardiales  7.684890 0.0000000  1
26                       o__Rickettsiales  3.861658 0.0000000  1
27                    o__Sphingomonadales  4.232910 0.0000000  1
28                    o__Streptomycetales  6.018767 0.0000000  1
29                                   <NA>  3.852842 0.0000000  1

$Time_Field$family_table
                      Family  mean_imp    imp_sd  n
1        f__Pseudomonadaceae 12.481655 6.1250844 45
2      f__Enterobacteriaceae 11.064541 5.2444508 40
3          f__Comamonadaceae 10.780214 4.7388709 16
4             f__Bacillaceae  7.229092 2.2404479 14
5        f__Oxalobacteraceae 10.395885 6.8666272 14
6            f__Yersiniaceae 10.135772 5.6566897 14
7     f__Sphingobacteriaceae  7.842718 3.0232864 10
8            f__Rhizobiaceae  9.611687 5.6019168  8
9             f__Erwiniaceae  5.913282 1.3956184  7
10          f__Moraxellaceae 12.059096 7.3351933  7
11         f__Clostridiaceae  5.552536 1.0621236  6
12         f__Planococcaceae  5.782970 1.9594950  6
13         f__Aeromonadaceae  7.738042 4.2611510  5
14       f__Xanthomonadaceae 11.025911 7.6800458  5
15       f__Lactobacillaceae  6.105053 0.6509003  3
16      f__Microbacteriaceae  4.000730 0.2790630  3
17      f__Cellulomonadaceae  8.647262 3.8041125  2
18    f__Erysipelotrichaceae  6.440711 0.9684849  2
19      f__Flavobacteriaceae  7.465446 0.8422237  2
20     f__Intrasporangiaceae  7.765123 2.1030749  2
21        f__Lachnospiraceae  5.202512 1.5701636  2
22         f__Micrococcaceae  6.877270 1.3402240  2
23         f__Morganellaceae  6.725534 1.5832781  2
24       f__Mycobacteriaceae  6.211508 0.6923905  2
25     f__Nitrososphaeraceae  6.127065 0.4766840  2
26           f__Nocardiaceae  9.870771 5.4582244  2
27        f__Nocardioidaceae  5.611248 1.7378274  2
28       f__Rhodobacteraceae  5.397310 0.8377640  2
29      f__Carnobacteriaceae 10.031694 0.0000000  1
30            f__Chloroplast  8.655492 0.0000000  1
31        f__Eggerthellaceae  3.915332 0.0000000  1
32        f__Enterococcaceae  3.819803 0.0000000  1
33            f__Gaiellaceae  5.043251 0.0000000  1
34 f__Hungateiclostridiaceae  5.023469 0.0000000  1
35           f__Mitochondria  3.861658 0.0000000  1
36       f__Paenibacillaceae  4.102743 0.0000000  1
37      f__Pectobacteriaceae  6.620615 0.0000000  1
38  f__Peptostreptococcaceae  7.689867 0.0000000  1
39   f__Propionibacteriaceae  3.799831 0.0000000  1
40     f__Pseudonocardiaceae  7.684890 0.0000000  1
41      f__Sphingomonadaceae  4.232910 0.0000000  1
42       f__Streptococcaceae  4.115833 0.0000000  1
43      f__Streptomycetaceae  6.018767 0.0000000  1
44          f__Weeksellaceae  4.654119 0.0000000  1
45      f__Xanthobacteraceae  4.166243 0.0000000  1
46                      <NA>  3.852842 0.0000000  1

$Time_Field$genus_table
                                                   Genus  mean_imp    imp_sd  n
1                                         g__Pseudomonas 12.481655 6.1250844 45
2                                                   <NA>  9.132186 5.1572270 43
3                                            g__Bacillus  7.229092 2.2404479 14
4                                            g__Serratia 10.135772 5.6566897 14
5                                       g__Acinetobacter 12.059096 7.3351933  7
6  g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium  9.742298 6.1808389  6
7                                             g__Pantoea  5.824721 1.4891851  6
8                                          g__Pedobacter  7.162901 3.2443542  6
9                                           g__Aeromonas  7.738042 4.2611510  5
10                                          g__Duganella 11.909938 5.7572643  5
11                                       g__Enterobacter 12.968192 6.6142609  5
12                                  g__Janthinobacterium 13.089088 8.0624060  5
13                                         g__Raoultella 13.254485 2.6029223  5
14                                   g__Sphingobacterium  8.862443 2.3100293  4
15                                       g__Sporosarcina  6.125783 2.1455428  4
16                                   g__Stenotrophomonas 12.771818 7.6477042  4
17                       g__Clostridium_sensu_stricto_10  5.356052 0.2502512  3
18                                          g__Comamonas 12.504415 5.6965121  3
19                                      g__Lactobacillus  6.105053 0.6509003  3
20                                         g__Variovorax 11.478342 2.3468375  3
21                                         g__Acidovorax  7.794939 3.7372846  2
22                                            g__Delftia  8.773824 3.4562923  2
23                                     g__Flavobacterium  7.465446 0.8422237  2
24                                     g__Herbaspirillum  6.228523 1.7812110  2
25                                         g__Klebsiella  7.990445 3.0351815  2
26                                     g__Microbacterium  4.075853 0.3161205  2
